Type,ID,SedRed,Cost,Duck
WCMO,884,6.843,7066.337,3.831
WCMO,898,128.595,35682.77,19.295
WCMO,899,138.596,112505.468,19.206
WCMO,926,3.009,11996.74,2.808
WCMO,927,2.948,719.853,2.697
WCMO,928,5.024,12149.075,2.85
WCMO,929,3.612,11505.801,2.414
WCMO,930,3.942,848.865,2.911
WCMO,931,75.521,67429.895,11.129
WCMO,936,17.963,9394.196,6.675
WCMO,959,39.362,24607.672,10.714
WCMO,960,44.853,12393.075,11.39
WCMO,961,12.516,3649.224,6.216
WCMO,962,6.88,1896.971,4.474
WCMO,963,80.039,36054.817,15.228
WCMO,964,5.276,7038.792,3.897
WCMO,965,8.438,9196.265,4.929
WCMO,966,3.387,6554.836,2.996
WCMO,967,13.978,11953.343,6.382
WCMO,968,2.35,6078.541,2.49
WCMO,969,2.949,750.803,2.788
WCMO,970,11.823,3260.852,5.877
WCMO,971,3.321,915.462,3.105
WCMO,972,8.858,11788.443,4.845
WCMO,973,10.048,2771.188,5.409
WCMO,974,92.077,57128.905,15.73
WCMO,975,54.971,36014.359,12.059
WCMO,977,0.327,2010.659,5.057
WCMO,978,61.852,81936.365,13.938
WCMO,979,2.64,5769.338,2.858
WCMO,980,23.192,21763.19,8.493
WCMO,981,33.141,60136.128,10.171
WCMO,982,3.062,10892.492,3.104
WCMO,983,10.63,13620.47,3.705
WCMO,984,14.568,9247.723,6.783
WCMO,985,16.663,19858.84,7.254
WCMO,986,39.424,11894.285,7.159
WCMO,987,88.407,57908.592,16.747
WCMO,988,22.708,13959.753,5.421
WCMO,989,65.998,26328.083,11.017
WCMO,990,6.915,6969.886,2.996
WCMO,991,7.329,2190.784,4.992
WCMO,992,18.174,5439.879,7.876
WCMO,993,11.17,3340.441,6.16
WCMO,994,19.384,10802.772,8.137
WCMO,995,2.27,10995.574,2.777
WCMO,996,2.113,594.428,2.609
WCMO,997,55.006,14380.851,12.82
WCMO,998,9.464,7858.984,4.407
WCMO,999,16.089,20675.271,5.734
WCMO,1000,3.161,10953.797,2.558
WCMO,1001,3.189,5686.536,2.577
WCMO,1002,17.654,10595.15,6.008
WCMO,1003,2.742,5827.477,2.372
WCMO,1004,3.974,6886.939,2.844
WCMO,1005,38.482,23370.634,8.916
