Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Cluster_size,Sedrank
14720,426.511,128213.968,11305,405.8624097,393184.2813,4,1
15519,4.632,5595.091,11519,1431.392624,3100.532715,10,10
16050,5.455,5737.223,11519,1524.441945,3841.06958,10,9
16045,5.571,10784.858,11519,645.247317,4089.254639,10,8
16047,5.98,5827.894,11519,1793.08715,4313.481445,10,7
16052,10.905,6678.956,11519,1619.640886,8747.670898,10,6
15500,12.628,2048.241,11519,65.48115093,10671.71875,10,5
16049,22.455,20757.958,11519,640.9238188,19151.19336,10,4
16051,36.423,11091.879,11519,1053.258947,31739.82422,10,3
16046,38.205,11400.352,11519,1425.804345,33347.02344,10,2
16048,77.387,17982.143,11519,976.168198,67639.38281,10,1
13870,4.473,5585.461,11931,248.9101689,3050.362549,3,3
13873,5.192,5713.685,11931,404.1540305,3718.431152,3,2
13871,27.765,17421.215,11931,0,24683.25195,3,1
15430,5.881,5841.033,12451,490.5373834,4381.940918,1,1
10825,4.882,10627.504,12485,199.9370471,3269.412109,13,13
11825,4.92,633.874,12485,86.38587533,3302.600342,13,12
11457,5.354,15707.705,12485,240.3236644,3687.276856,13,11
11298,5.96,10810.605,12485,316.1278298,4223.40332,13,10
12498,6.703,5936.744,12485,551.564152,4880.609375,13,9
10824,6.842,10960.437,12485,27.05447366,5004.056152,13,8
11453,6.897,10869.971,12485,760.5897154,4532.710449,13,7
11452,8.614,6261.423,12485,97.82848872,6572.247559,13,6
11827,9.525,1416.228,12485,158.3600873,7378.809082,13,5
10819,10.894,6648.671,12485,49.09376019,8589.884766,13,4
11456,21.454,13443.606,12485,293.1735725,17941.82813,13,3
11828,44.946,12440.68,12485,353.5819672,38767.32813,13,2
11455,267.349,69955.444,12485,158.3304489,234226.2344,13,1
15486,20.722,3532.378,12648,143.1013369,18404.34961,1,1
15169,17.184,12821.098,12726,345.4804237,14698.44824,2,2
14823,21.122,8415.497,12726,441.1705005,17795.37305,2,1
13869,12.207,8990.766,12835,0,9748.217773,1,1
15457,6.584,5929.7,12952,764.6343897,4843.911621,2,2
15459,10.742,6646.275,12952,540.4063914,8577.401367,2,1
13868,15.901,13915.499,12967,33.55994099,13023.10352,1,1
15450,7.95,6153.208,13034,400.4388694,6008.430176,2,2
15451,8.08,6175.389,13034,180.8732183,6123.995117,2,1
14831,5.167,15978.31,13111,1037.349389,3437.540039,7,7
14110,5.441,10705.259,13111,324.2199059,3674.530762,7,6
14108,5.678,5744.5,13111,556.367391,3878.98584,7,5
14111,5.917,5784.095,13111,278.067854,4085.278565,7,4
14112,16.578,13785.235,13111,894.8158882,13300.375,7,3
14109,25.464,15972.868,13111,621.8313318,20987.17578,7,2
14107,98.917,21065.742,13111,166.8451444,83705.50781,7,1
16446,17.99,14415.125,13337,565.0443783,15513.65332,2,2
16447,21.557,8609.953,13337,291.7538307,18808.52734,2,1
11584,5.193,5610.194,13385,726.6791784,3179.225342,2,2
11585,28.216,9123.801,13385,409.703856,21485.77344,2,1
15493,10.013,6595.784,13486,27.97255596,8314.331055,1,1
17124,5.166,6381.937,13605,1120.812949,3663.084717,19,19
17606,5.214,10711.504,13605,102.1216788,3707.06665,19,18
17133,5.482,6492.22,13605,1080.960167,3955.410156,19,17
17598,6.141,6297.774,13605,511.7238908,4560.055664,19,16
17600,7.026,6031.728,13605,228.9142234,5375.494141,19,15
17127,7.24,7102.023,13605,938.5373844,5571.80957,19,14
